params,mean_test_score,std_test_score
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.870242751674571,0.01421218787073509
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 350}",0.8722324353395589,0.013466820580639268
"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 500}",0.8720116853273359,0.013586024078244316
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.8671488290226372,0.014355376604560825
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 350}",0.8717909353151126,0.015042969280427336
"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 500}",0.8720121742531658,0.013794216941878322
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 150}",0.8852745318535178,0.015159600696006708
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 350}",0.887485209993644,0.015043442389056406
"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 500}",0.8879276878697503,0.014896020454679285
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 150}",0.8848320539774116,0.014739014372249523
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 350}",0.8877052266171221,0.014427467329132587
"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 500}",0.8879264655551753,0.013624377946421826
"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 150}",0.8863807265437833,0.01353234300636898
"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 350}",0.8879269544810052,0.014352287582268562
"{'max_depth': 30, 'min_samples_split': 2, 'n_estimators': 500}",0.8877057155429522,0.01591923417432701
"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 150}",0.8866012320930915,0.01426177220379171
"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 350}",0.8896951547450251,0.014619629003960426
"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 500}",0.8890321713196109,0.013273568251231266
"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 150}",0.9049464626216203,0.011554241959439035
"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 350}",0.923736126729575,0.009821407244149212
"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500}",0.9283777440962206,0.011776402813111974
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 150}",0.9117997359800517,0.010415497159159954
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 350}",0.9232931599276389,0.012155369606319277
"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 500}",0.9274942551214981,0.009880145426362105
"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 150}",0.9098085855375739,0.015537708323666353
"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 350}",0.9193137925976631,0.015074939557916877
"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 500}",0.9228516599031927,0.0130939742080304
"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 150}",0.9241768933652764,0.013180880021214503
"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 350}",0.9325783503642497,0.010784989069016657
"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500}",0.9336830782770253,0.011362382313093016
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}",0.9210832151762578,0.010788890985742719
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 350}",0.9266090549063707,0.012778611258178285
"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9281567496210824,0.012531484387250998
"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 150}",0.9168823644453138,0.01483700627262691
"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 350}",0.9228509265144478,0.014295029403043823
"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 500}",0.9239561433530534,0.015124688057093084
"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 150}",0.9314728890627292,0.010581933559943897
"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 350}",0.9347887840414609,0.010106315334552083
"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 500}",0.9361147508922898,0.01052059145675649
"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 150}",0.9266097882951156,0.009981964393865155
"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 350}",0.9279352662201144,0.012793850136046565
"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 500}",0.9288194885835818,0.012350232601675011
"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 150}",0.9224101598787465,0.010384274523744911
"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 350}",0.9257253214687331,0.011202578458067911
"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 500}",0.9281569940839974,0.011619284246879977
